date,symbol,side,order_place_time,order_type,order_price,fill_time,entry_price,ref_low_24h,ref_high_24h,ref_mid_24h,stop,take_profit,exit_time,exit_price,exit_reason,pnl,equity_after
2025-06-30,XAUUSD,SHORT,2025-06-30 04:30:00+01:00,MARKET,3278.675,2025-06-30 04:30:00+01:00,3278.675,3244.925,3283.098,3264.0115,3283.098,3265.406000000001,2025-06-30 05:50:00+01:00,3283.098,STOP,-4.4229999999997744,263.26550000000225
2025-07-01,XAUUSD,SHORT,2025-07-01 04:30:00+01:00,MARKET,3320.948,2025-07-01 04:30:00+01:00,3320.948,3274.405,3321.848,3298.1265000000003,3321.848,3318.2479999999996,2025-07-01 04:35:00+01:00,3318.2479999999996,TP,2.700000000000273,265.9655000000025
2025-07-02,XAUUSD,LONG,2025-07-02 04:30:00+01:00,LIMIT,3337.8215,2025-07-02 04:45:00+01:00,3337.8215,3317.778,3357.865,3337.8215,3317.778,3397.9520000000007,2025-07-02 16:00:00+01:00,3342.625,FORCE_EXIT,4.8034999999999854,270.7690000000025
2025-07-03,XAUUSD,LONG,2025-07-03 04:30:00+01:00,LIMIT,3346.365,2025-07-03 04:45:00+01:00,3346.365,3327.275,3365.455,3346.365,3327.275,3403.634999999999,2025-07-03 13:35:00+01:00,3327.275,STOP,-19.08999999999969,251.67900000000282
2025-07-04,XAUUSD,SHORT,2025-07-04 04:30:00+01:00,LIMIT,3337.38,2025-07-04 04:40:00+01:00,3337.38,3311.215,3363.545,3337.38,3363.545,3258.885,2025-07-04 16:00:00+01:00,3333.148,FORCE_EXIT,4.231999999999971,255.9110000000028
2025-07-08,XAUUSD,LONG,2025-07-08 04:30:00+01:00,LIMIT,3320.8715,2025-07-08 11:20:00+01:00,3320.8715,3296.195,3345.548,3320.8715,3296.195,3394.9010000000003,2025-07-08 15:40:00+01:00,3296.195,STOP,-24.676500000000033,231.23450000000275
2025-07-09,XAUUSD,LONG,2025-07-09 04:30:00+01:00,MARKET,3291.925,2025-07-09 04:30:00+01:00,3291.925,3284.638,3339.285,3311.9615,3284.638,3313.786000000001,2025-07-09 09:20:00+01:00,3284.638,STOP,-7.287000000000262,223.9475000000025
2025-07-11,XAUUSD,SHORT,2025-07-11 04:30:00+01:00,MARKET,3335.678,2025-07-11 04:30:00+01:00,3335.678,3309.905,3335.975,3322.94,3335.975,3334.787,2025-07-11 04:30:00+01:00,3334.787,TP,0.8910000000000764,224.83850000000257
2025-07-14,XAUUSD,SHORT,2025-07-14 04:30:00+01:00,LIMIT,3363.64,2025-07-14 07:45:00+01:00,3363.64,3353.575,3373.705,3363.64,3373.705,3333.4449999999997,2025-07-14 08:25:00+01:00,3373.705,STOP,-10.065000000000055,214.7735000000025
2025-07-15,XAUUSD,LONG,2025-07-15 04:30:00+01:00,MARKET,3354.305,2025-07-15 04:30:00+01:00,3354.305,3340.755,3374.805,3357.7799999999997,3340.755,3394.954999999999,2025-07-15 14:25:00+01:00,3340.755,STOP,-13.549999999999727,201.2235000000028
2025-07-16,XAUUSD,LONG,2025-07-16 04:30:00+01:00,MARKET,3332.498,2025-07-16 04:30:00+01:00,3332.498,3320.055,3366.148,3343.1014999999998,3320.055,3369.8270000000007,2025-07-16 15:30:00+01:00,3320.055,STOP,-12.443000000000211,188.78050000000258
